match_id,Mlinks,T1names,T2names,T1logos,T2logos,Mtime,Mdate,Mtour,Mtypes,TIME
371035,https://ru.dltv.org/matches/371035,Allce,VP.P,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/bca/9cc/3ac/thumb__40_40_0_0_auto.png,17:00:00,2020-05-08,WePlay! Pushka League S1: Division 1,Best of 3,2020-05-08 17:00:00+03:00
371821,https://ru.dltv.org/matches/371821,Aspirat,Sunrise,https://ru.dltv.org/storage/app/uploads/public/288/26c/d1e/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/c70/e24/d25/thumb__40_40_0_0_auto.png,17:30:00,2020-05-08,ASIAN GOLD OCCUPATION COMPETITION S13,Best of 3,2020-05-08 17:30:00+03:00
371036,https://ru.dltv.org/matches/371036,VP,Liquid,https://ru.dltv.org/storage/app/uploads/public/825/a78/65e/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/8f7/855/e04/thumb__40_40_0_0_auto.png,20:00:00,2020-05-08,WePlay! Pushka League S1: Division 1,Best of 3,2020-05-08 20:00:00+03:00
371641,https://ru.dltv.org/matches/371641,EmpH,Unique,https://ru.dltv.org/storage/app/uploads/public/6bd/a9b/bd8/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__40_40_0_0_auto.png,23:00:00,2020-05-08,WePlay! Pushka League S1: Division 2,Best of 3,2020-05-08 23:00:00+03:00
371084,https://ru.dltv.org/matches/371084,SandBl,0-900,https://ru.dltv.org/storage/app/uploads/public/186/12a/901/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/0e4/a55/836/thumb__40_40_0_0_auto.png,23:50:00,2020-05-08,Movistar Liga Pro Gaming  Season 4,Best of 2,2020-05-08 23:50:00+03:00
371078,https://ru.dltv.org/matches/371078,Midas,Unk,https://ru.dltv.org/storage/app/uploads/public/808/6d2/79a/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/77f/a71/03a/thumb__40_40_0_0_auto.png,01:50:00,2020-05-09,Movistar Liga Pro Gaming  Season 4,Best of 2,2020-05-09 01:50:00+03:00
371060,https://ru.dltv.org/matches/371060,TP,Incubus,https://ru.dltv.org/storage/app/uploads/public/203/42b/153/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9d2/5b6/918/thumb__40_40_0_0_auto.png,03:50:00,2020-05-09,Movistar Liga Pro Gaming  Season 4,Best of 2,2020-05-09 03:50:00+03:00
371370,https://ru.dltv.org/matches/371370,Adroit,Busy,https://ru.dltv.org/storage/app/uploads/public/e1d/eae/cf0/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/d9c/63b/103/thumb__40_40_0_0_auto.png,06:00:00,2020-05-09,Hephaestus Cup,Best of 3,2020-05-09 06:00:00+03:00
371630,https://ru.dltv.org/matches/371630,Boys,Old Man,https://ru.dltv.org/storage/app/uploads/public/804/b85/de4/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7a9/a3f/9e3/thumb__40_40_0_0_auto.png,06:00:00,2020-05-09,SEA Dota Invitational 2020: Vietnam Qualifier,Best of 3,2020-05-09 06:00:00+03:00
371578,https://ru.dltv.org/matches/371578,Typhn,YKW,https://ru.dltv.org/storage/app/uploads/public/887/46a/a42/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/5a7/34f/a8a/thumb__40_40_0_0_auto.png,08:00:00,2020-05-09,Dota2 Secondary Professional League 2020,Best of 2,2020-05-09 08:00:00+03:00
371664,https://ru.dltv.org/matches/371664,iG.V,KG,https://ru.dltv.org/storage/app/uploads/public/dbd/f5e/6b9/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/edd/602/459/thumb__40_40_0_0_auto.png,08:00:00,2020-05-09,Asia Spring Invitational,Best of 3,2020-05-09 08:00:00+03:00
371495,https://ru.dltv.org/matches/371495,EHOME,TBD,https://ru.dltv.org/storage/app/uploads/public/f96/bb8/3a4/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,09:00:00,2020-05-09,OGA Dota PIT 2020 Online: China,Best of 3,2020-05-09 09:00:00+03:00
372043,https://ru.dltv.org/matches/372043,COOB,CGina,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,09:00:00,2020-05-09,Epulze Global Dota 2 League: Australia Division 1,Best of 2,2020-05-09 09:00:00+03:00
371364,https://ru.dltv.org/matches/371364,Adroit,LGD.int,https://ru.dltv.org/storage/app/uploads/public/e1d/eae/cf0/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/65b/372/74e/thumb__40_40_0_0_auto.png,09:00:00,2020-05-09,Hephaestus Cup,Best of 3,2020-05-09 09:00:00+03:00
371629,https://ru.dltv.org/matches/371629,Imp,dsntex,https://ru.dltv.org/storage/app/uploads/public/6bb/3cb/ac3/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/1ec/a22/63f/thumb__40_40_0_0_auto.png,09:00:00,2020-05-09,SEA Dota Invitational 2020: Vietnam Qualifier,Best of 3,2020-05-09 09:00:00+03:00
371580,https://ru.dltv.org/matches/371580,YKW,Sirius,https://ru.dltv.org/storage/app/uploads/public/5a7/34f/a8a/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/872/2ef/7d5/thumb__40_40_0_0_auto.png,10:30:00,2020-05-09,Dota2 Secondary Professional League 2020,Best of 2,2020-05-09 10:30:00+03:00
371216,https://ru.dltv.org/matches/371216,BurgF,SwSold,https://ru.dltv.org/storage/app/uploads/public/bfb/033/b84/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/49f/f11/493/thumb__40_40_0_0_auto.png,11:00:00,2020-05-09,Oceanic Esports League,Best of 2,2020-05-09 11:00:00+03:00
372061,https://ru.dltv.org/matches/372061,TBD,BB,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/186/871/d32/thumb__40_40_0_0_auto.png,11:00:00,2020-05-09,ESL One Birmingham 2020 - Online: China Open Qualifier,Best of 1,2020-05-09 11:00:00+03:00
372062,https://ru.dltv.org/matches/372062,DeM,Strbry,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/003/098/11c/thumb__40_40_0_0_auto.png,11:00:00,2020-05-09,ESL One Birmingham 2020 - Online: China Open Qualifier,Best of 1,2020-05-09 11:00:00+03:00
372063,https://ru.dltv.org/matches/372063,Sirius,DKn,https://ru.dltv.org/storage/app/uploads/public/872/2ef/7d5/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e1c/3af/fae/thumb__40_40_0_0_auto.png,11:00:00,2020-05-09,ESL One Birmingham 2020 - Online: China Open Qualifier,Best of 1,2020-05-09 11:00:00+03:00
